date,receptor,genus,treat_type,treat_subtype,treat,treat_name,dose_type,dose,replicate,fold_act,n_doses
2022-08-04,beta,Xanthonycticebus,diet,biscuit,mazuri_5m02,Leaf-Eater Primate Diet,extract_mg_ml,0.2,1,1.0266826882186837,8
2022-08-04,beta,Xanthonycticebus,diet,biscuit,mazuri_5m02,Leaf-Eater Primate Diet,extract_mg_ml,0.2,2,1.0928538194121953,8
2022-08-04,beta,Xanthonycticebus,diet,biscuit,mazuri_5m02,Leaf-Eater Primate Diet,extract_mg_ml,0.2,3,1.1352703594372995,8
2022-08-04,beta,Xanthonycticebus,diet,biscuit,mazuri_5m02,Leaf-Eater Primate Diet,extract_mg_ml,0.5,1,0.9138231855652114,8
2022-08-04,beta,Xanthonycticebus,diet,biscuit,mazuri_5m02,Leaf-Eater Primate Diet,extract_mg_ml,0.5,2,0.9685409209849773,8
2022-08-04,beta,Xanthonycticebus,diet,biscuit,mazuri_5m02,Leaf-Eater Primate Diet,extract_mg_ml,0.5,3,1.0703497752683764,8
2022-08-04,beta,Xanthonycticebus,diet,biscuit,mazuri_5m02,Leaf-Eater Primate Diet,extract_mg_ml,1,1,1.3164289598139634,8
2022-08-04,beta,Xanthonycticebus,diet,biscuit,mazuri_5m02,Leaf-Eater Primate Diet,extract_mg_ml,1,2,1.3911154114070825,8
2022-08-04,beta,Xanthonycticebus,diet,biscuit,mazuri_5m02,Leaf-Eater Primate Diet,extract_mg_ml,1,3,1.3915212559720824,8
2022-08-04,beta,Xanthonycticebus,diet,biscuit,mazuri_5m02,Leaf-Eater Primate Diet,extract_mg_ml,2,1,2.0067617125954507,8
2022-08-04,beta,Xanthonycticebus,diet,biscuit,mazuri_5m02,Leaf-Eater Primate Diet,extract_mg_ml,2,2,1.9703026123803857,8
2022-08-04,beta,Xanthonycticebus,diet,biscuit,mazuri_5m02,Leaf-Eater Primate Diet,extract_mg_ml,2,3,2.0878786618791145,8
2022-08-04,alpha,Homo,standard,estrogen,e2,Estradiol (Endogenous estrogen),molar_M,1e-13,1,1.0228701304397105,12
2022-08-04,alpha,Homo,standard,estrogen,e2,Estradiol (Endogenous estrogen),molar_M,1e-13,2,1.149973347123862,12
2022-08-04,alpha,Homo,standard,estrogen,e2,Estradiol (Endogenous estrogen),molar_M,1e-13,3,1.0913127997777858,12
2022-08-04,alpha,Homo,standard,estrogen,e2,Estradiol (Endogenous estrogen),molar_M,1e-12,1,1.3666883296651557,12
2022-08-04,alpha,Homo,standard,estrogen,e2,Estradiol (Endogenous estrogen),molar_M,1e-12,2,1.5386686544928336,12
2022-08-04,alpha,Homo,standard,estrogen,e2,Estradiol (Endogenous estrogen),molar_M,1e-12,3,1.6070585300239573,12
2022-08-04,alpha,Homo,standard,estrogen,e2,Estradiol (Endogenous estrogen),molar_M,1e-11,1,4.680245837007806,12
2022-08-04,alpha,Homo,standard,estrogen,e2,Estradiol (Endogenous estrogen),molar_M,1e-11,2,4.937208457296938,12
2022-08-04,alpha,Homo,standard,estrogen,e2,Estradiol (Endogenous estrogen),molar_M,1e-11,3,5.277239392565515,12
2022-08-04,alpha,Homo,standard,estrogen,e2,Estradiol (Endogenous estrogen),molar_M,1e-10,1,8.694997471121422,12
