plate,subj,genus,receptor,model,treat_type,treat_subtype,treat,treat_name,treat_desc,log10_dose,dose,replicate,fold_act,perc_e2,perc_e2_Dmax
2,loris,Xanthonycticebus,beta,loris_beta,standard,estrogen,e2,Estradiol,Endogenous estrogen,-6,1e-6,1,198.52564741522562,8219.043978473353,104.31356540286613
2,loris,Xanthonycticebus,beta,loris_beta,standard,estrogen,e2,Estradiol,Endogenous estrogen,-6,1e-6,2,203.04323344983777,8406.073910265262,106.68729148017724
2,loris,Xanthonycticebus,beta,loris_beta,standard,estrogen,e2,Estradiol,Endogenous estrogen,-6,1e-6,3,210.36542916873046,8709.215843895108,110.53467519084595
2,loris,Xanthonycticebus,beta,loris_beta,standard,estrogen,e2,Estradiol,Endogenous estrogen,-5,1e-5,1,159.01828893066553,6583.422983979077,83.55476936401452
2,loris,Xanthonycticebus,beta,loris_beta,standard,estrogen,e2,Estradiol,Endogenous estrogen,-5,1e-5,2,192.68107972125978,7977.076456708276,101.24258841659879
2,loris,Xanthonycticebus,beta,loris_beta,standard,estrogen,e2,Estradiol,Endogenous estrogen,-5,1e-5,3,174.50477425525315,7224.569886719291,91.69200765438065
2,loris,Xanthonycticebus,beta,loris_beta,diet,biscuit,5m1s,Mazuri<sup>®</sup> Primate LS Biscuit Large,Commercial Diet (Biscuit),-0.6989700043360187,0.2,1,1.0693459245075303,44.271363907687125,0.5618784650080918
2,loris,Xanthonycticebus,beta,loris_beta,diet,biscuit,5m1s,Mazuri<sup>®</sup> Primate LS Biscuit Large,Commercial Diet (Biscuit),-0.6989700043360187,0.2,2,0.9875886959165625,40.886580802349535,0.5189198441809123
2,loris,Xanthonycticebus,beta,loris_beta,diet,biscuit,5m1s,Mazuri<sup>®</sup> Primate LS Biscuit Large,Commercial Diet (Biscuit),-0.6989700043360187,0.2,3,0.9579344013900936,39.65888073418717,0.5033382544375338
2,loris,Xanthonycticebus,beta,loris_beta,diet,biscuit,5m1s,Mazuri<sup>®</sup> Primate LS Biscuit Large,Commercial Diet (Biscuit),-0.3010299956639812,0.5,1,1.3528018661912773,56.00655722397205,0.7108179108511524
2,loris,Xanthonycticebus,beta,loris_beta,diet,biscuit,5m1s,Mazuri<sup>®</sup> Primate LS Biscuit Large,Commercial Diet (Biscuit),-0.3010299956639812,0.5,2,1.3925855781043655,57.65361936479804,0.7317219143824183
2,loris,Xanthonycticebus,beta,loris_beta,diet,biscuit,5m1s,Mazuri<sup>®</sup> Primate LS Biscuit Large,Commercial Diet (Biscuit),-0.3010299956639812,0.5,3,1.1145691291861135,46.14362330056731,0.5856406024466865
2,loris,Xanthonycticebus,beta,loris_beta,diet,biscuit,5m1s,Mazuri<sup>®</sup> Primate LS Biscuit Large,Commercial Diet (Biscuit),0,1,1,1.4457521315406388,59.85473668422742,0.7596578149641702
2,loris,Xanthonycticebus,beta,loris_beta,diet,biscuit,5m1s,Mazuri<sup>®</sup> Primate LS Biscuit Large,Commercial Diet (Biscuit),0,1,2,1.1667182088002006,48.302616782596466,0.6130418803059933
2,loris,Xanthonycticebus,beta,loris_beta,diet,biscuit,5m1s,Mazuri<sup>®</sup> Primate LS Biscuit Large,Commercial Diet (Biscuit),0,1,3,1.6560984750946923,68.56316237577482,0.8701824617856806
2,loris,Xanthonycticebus,beta,loris_beta,diet,biscuit,5m1s,Mazuri<sup>®</sup> Primate LS Biscuit Large,Commercial Diet (Biscuit),0.3010299956639812,2,1,1.9995569653678897,82.78248604044593,1.050649722085546
