date,receptor,species,dose_type,dose,treatment,assay,value_1,value_2,value_3
8/4/22,esr2,human,extract_mg_ml,0.5,Browse Biscuit,luciferase,7373,7955,7278
8/4/22,esr2,human,extract_mg_ml,1,Browse Biscuit,luciferase,9185,9035,7765
8/4/22,esr2,human,extract_mg_ml,2,Browse Biscuit,luciferase,8625,8508,7829
8/4/22,esr2,human,extract_mg_ml,0.2,LS Cin,b_gal,1.1636,1.2372,1.1456
8/4/22,esr2,human,extract_mg_ml,0.5,LS Cin,b_gal,1.1468,1.1849,1.1632
8/4/22,esr2,human,extract_mg_ml,1,LS Cin,b_gal,1.2028,1.2559,1.1768
8/4/22,esr2,human,extract_mg_ml,2,LS Cin,b_gal,1.2023,1.2425,1.2274
8/4/22,esr2,human,extract_mg_ml,0.2,Browse Biscuit,b_gal,1.2158,1.2746,1.2286
8/4/22,esr2,human,extract_mg_ml,0.5,Browse Biscuit,b_gal,1.2708,1.3056,1.294
8/4/22,esr2,human,extract_mg_ml,1,Browse Biscuit,b_gal,1.3482,1.3216,1.2316
8/4/22,esr2,human,extract_mg_ml,2,Browse Biscuit,b_gal,1.2023,1.2415,1.1792
8/4/22,esr2,human,extract_mg_ml,0.2,LS Ban,luciferase,3704,4055,3880
8/4/22,esr2,human,extract_mg_ml,0.5,LS Ban,luciferase,6222,5814,5594
8/4/22,esr2,human,extract_mg_ml,1,LS Ban,luciferase,6819,6914,7191
8/4/22,esr2,human,extract_mg_ml,2,LS Ban,luciferase,7609,6808,6989
8/4/22,esr2,human,extract_mg_ml,0.2,High Fiber,luciferase,4165,4586,3734
8/4/22,esr2,human,extract_mg_ml,0.5,High Fiber,luciferase,5438,6379,5803
8/4/22,esr2,human,extract_mg_ml,1,High Fiber,luciferase,7268,6205,6587
8/4/22,esr2,human,extract_mg_ml,2,High Fiber,luciferase,7461,7395,6963
8/4/22,esr2,human,extract_mg_ml,0.2,LS Ban,b_gal,1.0987,1.1242,1.187
8/4/22,esr2,human,extract_mg_ml,0.5,LS Ban,b_gal,1.1203,1.0944,1.1357
8/4/22,esr2,human,extract_mg_ml,1,LS Ban,b_gal,1.1022,1.1178,1.2041
8/4/22,esr2,human,extract_mg_ml,2,LS Ban,b_gal,1.0253,1.0138,1.1567
8/4/22,esr2,human,extract_mg_ml,0.2,High Fiber,b_gal,1.059,1.0905,1.1334
8/4/22,esr2,human,extract_mg_ml,0.5,High Fiber,b_gal,0.9786,1.1558,1.1101
8/4/22,esr2,human,extract_mg_ml,1,High Fiber,b_gal,1.1892,1.0157,1.1352
8/4/22,esr2,human,extract_mg_ml,2,High Fiber,b_gal,1.0939,1.092,1.0874
8/4/22,esr2,human,extract_mg_ml,0.2,Insect,luciferase,3849,3864,3313
8/4/22,esr2,human,extract_mg_ml,0.5,Insect,luciferase,5771,5876,4889
8/4/22,esr2,human,extract_mg_ml,1,Insect,luciferase,7144,7667,6760
8/4/22,esr2,human,extract_mg_ml,2,Insect,luciferase,8726,8931,7727
8/4/22,esr2,human,extract_mg_ml,0.2,Leafeater,luciferase,4124,4491,3781
8/4/22,esr2,human,extract_mg_ml,0.5,Leafeater,luciferase,6214,6092,5765
8/4/22,esr2,human,extract_mg_ml,1,Leafeater,luciferase,7143,7905,6670
8/4/22,esr2,human,extract_mg_ml,2,Leafeater,luciferase,8170,8582,7988
8/4/22,esr2,human,extract_mg_ml,0.2,Insect,b_gal,1.1283,1.2842,1.1359
8/4/22,esr2,human,extract_mg_ml,0.5,Insect,b_gal,1.188,1.2416,1.2098
8/4/22,esr2,human,extract_mg_ml,1,Insect,b_gal,1.1514,1.2514,1.2125
8/4/22,esr2,human,extract_mg_ml,2,Insect,b_gal,1.252,1.2805,1.2031
8/4/22,esr2,human,extract_mg_ml,0.2,Leafeater,b_gal,1.1507,1.2243,1.1683
8/4/22,esr2,human,extract_mg_ml,0.5,Leafeater,b_gal,1.2438,1.2259,1.2271
8/4/22,esr2,human,extract_mg_ml,1,Leafeater,b_gal,1.1704,1.2276,1.1385
8/4/22,esr2,human,extract_mg_ml,2,Leafeater,b_gal,1.2303,1.2982,1.2578
7/29/22,esr1,gorilla,control,,Control,luciferase,6163,5212,5669
7/29/22,esr1,gorilla,vehicle,,Veh DMSO,luciferase,7439,6819,5983
7/29/22,esr1,gorilla,molar_M,1.00E-13,E2,luciferase,6245,5669,5413
7/29/22,esr1,gorilla,molar_M,1.00E-12,E2,luciferase,8050,7450,7923
7/29/22,esr1,gorilla,molar_M,1.00E-11,E2,luciferase,19801,19536,19896
7/29/22,esr1,gorilla,molar_M,1.00E-10,E2,luciferase,29333,31267,29746
7/29/22,esr1,gorilla,molar_M,1.00E-09,E2,luciferase,33854,32988,30518
7/29/22,esr1,gorilla,molar_M,1.00E-08,E2,luciferase,33985,31419,31522
7/29/22,esr1,gorilla,control,,Control,b_gal,1.7513,1.4236,1.4352
7/29/22,esr1,gorilla,vehicle,,Veh DMSO,b_gal,1.7394,1.4368,1.4012
7/29/22,esr1,gorilla,molar_M,1.00E-13,E2,b_gal,1.6826,1.3876,1.3253
7/29/22,esr1,gorilla,molar_M,1.00E-12,E2,b_gal,1.51,1.3533,1.4024
7/29/22,esr1,gorilla,molar_M,1.00E-11,E2,b_gal,1.5785,1.3616,1.46
7/29/22,esr1,gorilla,molar_M,1.00E-10,E2,b_gal,1.3959,1.3182,1.2765
7/29/22,esr1,gorilla,molar_M,1.00E-09,E2,b_gal,1.4183,1.2659,1.2818
7/29/22,esr1,gorilla,molar_M,1.00E-08,E2,b_gal,1.3918,1.2477,1.2577
7/29/22,esr1,gorilla,extract_mg_ml,0.2,LS Cin,luciferase,8858,7735,8213
7/29/22,esr1,gorilla,extract_mg_ml,0.5,LS Cin,luciferase,12096,11865,12039
7/29/22,esr1,gorilla,extract_mg_ml,1,LS Cin,luciferase,16729,16736,15797
7/29/22,esr1,gorilla,extract_mg_ml,2,LS Cin,luciferase,22788,21509,21588
7/29/22,esr1,gorilla,extract_mg_ml,0.2,Browse Biscuit,luciferase,8407,8064,8042
7/29/22,esr1,gorilla,extract_mg_ml,0.5,Browse Biscuit,luciferase,12043,10842,10710
7/29/22,esr1,gorilla,extract_mg_ml,1,Browse Biscuit,luciferase,14131,15141,15797
7/29/22,esr1,gorilla,extract_mg_ml,2,Browse Biscuit,luciferase,22557,21012,23005
7/29/22,esr1,gorilla,extract_mg_ml,0.2,LS Cin,b_gal,1.3278,1.2642,1.278
7/29/22,esr1,gorilla,extract_mg_ml,0.5,LS Cin,b_gal,1.2289,1.2787,1.3201
7/29/22,esr1,gorilla,extract_mg_ml,1,LS Cin,b_gal,1.2942,1.3407,1.2707
7/29/22,esr1,gorilla,extract_mg_ml,2,LS Cin,b_gal,1.4396,1.3609,1.3755
7/29/22,esr1,gorilla,extract_mg_ml,0.2,Browse Biscuit,b_gal,1.3636,1.3483,1.4062
7/29/22,esr1,gorilla,extract_mg_ml,0.5,Browse Biscuit,b_gal,1.4349,1.3048,1.3172
7/29/22,esr1,gorilla,extract_mg_ml,1,Browse Biscuit,b_gal,1.2153,1.3258,1.3228
7/29/22,esr1,gorilla,extract_mg_ml,2,Browse Biscuit,b_gal,1.3484,1.2652,1.366
7/29/22,esr1,gorilla,extract_mg_ml,0.2,LS Ban,luciferase,7026,7458,7527
7/29/22,esr1,gorilla,extract_mg_ml,0.5,LS Ban,luciferase,10420,10200,9731
7/29/22,esr1,gorilla,extract_mg_ml,1,LS Ban,luciferase,14895,14378,13608
7/29/22,esr1,gorilla,extract_mg_ml,2,LS Ban,luciferase,21138,19582,19222
7/29/22,esr1,gorilla,extract_mg_ml,0.2,High Fiber,luciferase,8340,7757,7666
7/29/22,esr1,gorilla,extract_mg_ml,0.5,High Fiber,luciferase,11765,12353,10603
7/29/22,esr1,gorilla,extract_mg_ml,1,High Fiber,luciferase,16451,15655,14654
