| GRTS Cell Id,SITE_ID,SPARCS,BAT_ID,BAT_SP,AGE,SEX,REPRO_STAT,RFA_MM,MASS_G,NET_HT,SAMPLE,WING_SCORE,BAND,BAND_COLOR,BAND_NUMBR,BAND_ID,BAND_ARM,PIT_TAG,RADIO_FREQ,CAP_TIME,COMMENTS,SITE,LAT,LONG,ACCURACY,MONTH,DAY,YEAR,DATE,START_TIME,STOP_TIME,PROJECT,SITE_NAME,STATE,COUNTY,TYPE,EFFORT,HABITAT,SURVEYOR,PERMIT_NUM,EMAIL,S_COMMENTS,EFFORT_HRS,STATUS,FILE_NAME
636,,,,Nycticeius humeralis,Juvenile,Female,Non-Reproductive,38,9,,,0,,,NCWRC4391,,,,,23:40,,,,,,,,,7/31/2017,20:15,1:45,,,North Carolina,,,,,,,,,,,
636,,,,Lasiurus borealis,,,,,,,,,,,,,,,,,,,,,,,,,6/28/2014,,,,,North Carolina,,,,,,,,,,,
636,,,,Lasiurus borealis,,,,,,,,,,,,,,,,,,,,,,,,,6/28/2014,,,,,North Carolina,,,,,,,,,,,
636,,,,Lasiurus borealis,,,,,,,,,,,,,,,,,,,,,,,,,6/28/2014,,,,,North Carolina,,,,,,,,,,,
636,,,,Lasiurus borealis,,,,,,,,,,,,,,,,,,,,,,,,,6/28/2014,,,,,North Carolina,,,,,,,,,,,
636,,,,Lasiurus borealis,,,,,,,,,,,,,,,,,,,,,,,,,6/28/2014,,,,,North Carolina,,,,,,,,,,,
636,,,,Lasiurus borealis,,,,,,,,,,,,,,,,,,,,,,,,,6/28/2014,,,,,North Carolina,,,,,,,,,,,
636,,,,Lasiurus borealis,,,,,,,,,,,,,,,,,,,,,,,,,6/28/2014,,,,,North Carolina,,,,,,,,,,,
636,,,,Lasiurus borealis,,,,,,,,,,,,,,,,,,,,,,,,,6/28/2014,,,,,North Carolina,,,,,,,,,,,
636,,,,Lasiurus borealis,,,,,,,,,,,,,,,,,,,,,,,,,6/28/2014,,,,,North Carolina,,,,,,,,,,,
636,,,,Lasiurus borealis,,,,,,,,,,,,,,,,,,,,,,,,,6/28/2014,,,,,North Carolina,,,,,,,,,,,
636,,,,Lasiurus borealis,,,,,,,,,,,,,,,,,,,,,,,,,6/28/2014,,,,,North Carolina,,,,,,,,,,,
636,,,,Lasiurus borealis,,,,,,,,,,,,,,,,,,,,,,,,,6/28/2014,,,,,North Carolina,,,,,,,,,,,
636,,,,Lasiurus borealis,,,,,,,,,,,,,,,,,,,,,,,,,6/28/2014,,,,,North Carolina,,,,,,,,,,,
636,,,,Lasiurus borealis,,,,,,,,,,,,,,,,,,,,,,,,,6/28/2014,,,,,North Carolina,,,,,,,,,,,
636,,,,Lasiurus borealis,,,,,,,,,,,,,,,,,,,,,,,,,6/28/2014,,,,,North Carolina,,,,,,,,,,,
636,,,,Lasiurus borealis,,,,,,,,,,,,,,,,,,,,,,,,,6/28/2014,,,,,North Carolina,,,,,,,,,,,
636,,,,Lasiurus borealis,,,,,,,,,,,,,,,,,,,,,,,,,6/28/2014,,,,,North Carolina,,,,,,,,,,,
636,,,,Nycticeius humeralis,,,,,,,,,,,,,,,,,,,,,,,,,6/28/2014,,,,,North Carolina,,,,,,,,,,,
636,,,,Nycticeius humeralis,,,,,,,,,,,,,,,,,,,,,,,,,6/28/2014,,,,,North Carolina,,,,,,,,,,,
636,,,,Nycticeius humeralis,,,,,,,,,,,,,,,,,,,,,,,,,6/28/2014,,,,,North Carolina,,,,,,,,,,,
636,,,,Corynorhinus rafinesquii macrotis,,,,,,,,,,,,,,,,,,,,,,,,,6/13/2009,,,,,North Carolina,,,,,,,,,,,
636,,,,Corynorhinus rafinesquii macrotis,,,,,,,,,,,,,,,,,,,,,,,,,6/13/2009,,,,,North Carolina,,,,,,,,,,,
636,,,,Corynorhinus rafinesquii macrotis,,,,,,,,,,,,,,,,,,,,,,,,,6/13/2009,,,,,North Carolina,,,,,,,,,,,
636,,,,Corynorhinus rafinesquii macrotis,,,,,,,,,,,,,,,,,,,,,,,,,6/13/2009,,,,,North Carolina,,,,,,,,,,,
636,,,,Corynorhinus rafinesquii macrotis,,,,,,,,,,,,,,,,,,,,,,,,,6/13/2009,,,,,North Carolina,,,,,,,,,,,
636,,,,Corynorhinus rafinesquii macrotis,,,,,,,,,,,,,,,,,,,,,,,,,6/13/2009,,,,,North Carolina,,,,,,,,,,,
636,,,,Corynorhinus rafinesquii macrotis,,,,,,,,,,,,,,,,,,,,,,,,,6/13/2009,,,,,North Carolina,,,,,,,,,,,
636,,,,Corynorhinus rafinesquii macrotis,,,,,,,,,,,,,,,,,,,,,,,,,6/13/2009,,,,,North Carolina,,,,,,,,,,,
636,,,,Corynorhinus rafinesquii macrotis,,,,,,,,,,,,,,,,,,,,,,,,,6/13/2009,,,,,North Carolina,,,,,,,,,,,
636,,,,Corynorhinus rafinesquii macrotis,,,,,,,,,,,,,,,,,,,,,,,,,6/13/2009,,,,,North Carolina,,,,,,,,,,,
636,,,,Lasiurus borealis,,,,,,,,,,,,,,,,,,,,,,,,,6/10/2009,,,,,North Carolina,,,,,,,,,,,
