"identifier"	"subject"	"rel_biscuit"	"rel_HDZ_oatgel"	"rel_invertebrates"	"rel_protein_rotate"	"rel_gum_arabic"	"rel_seasonal_veggies"	"biscuit"	"gum_arabic"	"invertebrates"	"protein_rotate"	"seasonal_veggies"	"HDZ_oatgel"
"HDZ-344-S316"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-382-S328"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-321-S132"	"culi"	13200	5000	8000	2100	12000	20000	13200	12000	8000	2100	20000	5000
"HDZ-338-S161"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-347-S318"	"culi"	13200	5000	8000	2100	12000	20000	13200	12000	8000	2100	20000	5000
"HDZ-384-S261"	"culi"	13200	5000	8000	2100	12000	20000	13200	12000	8000	2100	20000	5000
"HDZ-343-S172"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-396-S273"	"culi"	13200	5000	8000	2100	12000	20000	13200	12000	8000	2100	20000	5000
"HDZ-409-S339"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-345-S258"	"culi"	13200	5000	8000	2100	12000	20000	13200	12000	8000	2100	20000	5000
"HDZ-346-S317"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-221-S90"	"culi"	13200	5000	8000	2100	12000	20000	13200	12000	8000	2100	20000	5000
"HDZ-210-S105"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-385-S262"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-408-S338"	"culi"	13200	5000	8000	2100	12000	20000	13200	12000	8000	2100	20000	5000
"HDZ-407-S337"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-219-S81"	"culi"	13200	5000	8000	2100	12000	20000	13200	12000	8000	2100	20000	5000
"HDZ-220-S85"	"culi"	13200	5000	8000	2100	12000	20000	13200	12000	8000	2100	20000	5000
