"identifier"	"subject"	"rel_omega3"	"rel_omega6"	"rel_fats_total"	"omega3"	"omega6"	"fats_total"
"HDZ-323-S134"	"warble"	635	3370	2000	635	3370	2000
"HDZ-252-S152"	"culi"	635	3370	2000	635	3370	2000
"HDZ-246-S146"	"warble"	635	3370	2000	635	3370	2000
"HDZ-249-S149"	"culi"	635	3370	2000	635	3370	2000
"HDZ-240-S140"	"culi"	635	3370	2000	635	3370	2000
"HDZ-247-S147"	"warble"	635	3370	2000	635	3370	2000
"HDZ-250-S150"	"culi"	635	3370	2000	635	3370	2000
"HDZ-272-S312"	"culi"	635	3370	2000	635	3370	2000
"HDZ-248-S148"	"warble"	635	3370	2000	635	3370	2000
"HDZ-270-S310"	"culi"	635	3370	2000	635	3370	2000
"HDZ-267-S255"	"warble"	635	3370	2000	635	3370	2000
"HDZ-273-S313"	"culi"	635	3370	2000	635	3370	2000
"HDZ-265-S205"	"warble"	635	3370	2000	635	3370	2000
"HDZ-262-S165"	"culi"	635	3370	2000	635	3370	2000
"HDZ-271-S311"	"culi"	634.49	3369.2	1618.96429	634.49	3369.2	1618.96429
"HDZ-203-S203"	"culi"	634.49	3369.2	1618.96429	634.49	3369.2	1618.96429
"HDZ-209-S104"	"warble"	635	3370	2000	635	3370	2000
"HDZ-202-E1-S348"	"culi"	634.49	3369.2	1618.96429	634.49	3369.2	1618.96429
"HDZ-207-S102"	"warble"	635	3370	2000	635	3370	2000
"HDZ-266-S254"	"culi"	634.49	3369.2	1618.96429	634.49	3369.2	1618.96429
"HDZ-260-S164"	"warble"	635	3370	2000	635	3370	2000
"HDZ-204-S249"	"culi"	634.49	3369.2	1618.96429	634.49	3369.2	1618.96429
"HDZ-205-S101"	"warble"	635	3370	2000	635	3370	2000
"HDZ-208-S103"	"warble"	635	3370	2000	635	3370	2000
"HDZ-394-S271"	"culi"	634.49	3369.2	1618.96429	634.49	3369.2	1618.96429
"HDZ-411-E1-S350"	"warble"	635	3370	2000	635	3370	2000
"HDZ-254-S154"	"culi"	634.49	3369.2	1618.96429	634.49	3369.2	1618.96429
"HDZ-194-S87"	"warble"	635	3370	2000	635	3370	2000
"HDZ-201-E1-S347"	"culi"	634.49	3369.2	1618.96429	634.49	3369.2	1618.96429
"HDZ-200-S100"	"warble"	635	3370	2000	635	3370	2000
"HDZ-197-S202"	"culi"	634.49	3369.2	1618.96429	634.49	3369.2	1618.96429
"HDZ-196-S76"	"culi"	634.49	3369.2	1618.96429	634.49	3369.2	1618.96429
"HDZ-239-S307"	"warble"	635	3370	2000	635	3370	2000
"HDZ-238-S306"	"culi"	634.49	3369.2	1618.96429	634.49	3369.2	1618.96429
"HDZ-199-S86"	"warble"	635	3370	2000	635	3370	2000
"HDZ-235-S282"	"culi"	634.49	3369.2	1618.96429	634.49	3369.2	1618.96429
"HDZ-234-S281"	"warble"	635	3370	2000	635	3370	2000
"HDZ-198-S88"	"culi"	634.49	3369.2	1618.96429	634.49	3369.2	1618.96429
"HDZ-237-S305"	"warble"	635	3370	2000	635	3370	2000
"HDZ-326-S137"	"culi"	634.49	3369.2	1618.96429	634.49	3369.2	1618.96429
"HDZ-307-S116"	"warble"	635	3370	2000	635	3370	2000
"HDZ-330-S323"	"culi"	634.49	3369.2	1618.96429	634.49	3369.2	1618.96429
"HDZ-315-S127"	"warble"	635	3370	2000	635	3370	2000
"HDZ-318-S156"	"culi"	634.49	3369.2	1618.96429	634.49	3369.2	1618.96429
