"date"	"subject"	"bristol_min"	"bristol_max"	"bristol_mean"
2024-06-28	"warble"	1	1	1
2024-06-29	"culi"	6	6	6
2024-06-29	"warble"	1	1	1
2024-06-30	"culi"	3	6	4.5
2024-06-30	"warble"	1	1	1
2024-07-01	"culi"	3	4	3.5
2024-07-01	"warble"	1	1	1
2024-07-02	"culi"	3	4	3.5
2024-07-02	"warble"	1	1	1
2024-07-03	"culi"	NA	NA	NA
2024-07-03	"warble"	1	1	1
2024-07-04	"culi"	1	1	1
2024-07-04	"warble"	1	1	1
2024-07-05	"culi"	3	3	3
2024-07-05	"warble"	1	1	1
2024-07-06	"culi"	3	3	3
2024-07-06	"warble"	1	1	1
2024-07-07	"culi"	3	6	4.5
2024-07-07	"warble"	1	1	1
2024-07-08	"culi"	4	6	5
2024-07-08	"warble"	1	1	1
2024-07-09	"culi"	4	4	4
2024-07-09	"warble"	1	1	1
2024-07-10	"culi"	4	6	5
2024-07-10	"warble"	1	1	1
2024-07-11	"culi"	0	0	0
2024-07-11	"warble"	1	1	1
2024-07-12	"culi"	4	4	4
2024-07-12	"warble"	1	1	1
2024-07-13	"culi"	1	6	3.5
2024-07-13	"warble"	1	1	1
2024-07-14	"culi"	2	6	4
2024-07-14	"warble"	1	1	1
2024-07-15	"culi"	3	6	4.5
2024-07-15	"warble"	1	1	1
2024-07-16	"culi"	5	5	5
2024-07-16	"warble"	1	1	1
2024-07-17	"culi"	3	6	4.5
2024-07-17	"warble"	1	1	1
2024-07-18	"culi"	3	6	4.5
2024-07-18	"warble"	1	1	1
2024-07-19	"culi"	NA	NA	NA
2024-07-19	"warble"	1	1	1
2024-07-20	"culi"	3	6	4.5
2024-07-20	"warble"	1	1	1
2024-07-21	"culi"	3	3	3
2024-07-21	"warble"	1	1	1
2024-07-22	"culi"	3	6	4.5
2024-07-22	"warble"	1	1	1
2024-07-23	"culi"	NA	NA	NA
2024-07-23	"warble"	1	1	1
2024-07-24	"culi"	NA	NA	NA
2024-07-24	"warble"	1	1	1
2024-07-25	"culi"	1	6	3.5
2024-07-25	"warble"	1	1	1
2024-07-26	"culi"	1	6	3.5
2024-07-26	"warble"	1	1	1
2024-07-27	"culi"	5	6	5.5
2024-07-27	"warble"	1	1	1
2024-07-28	"culi"	NA	NA	NA
2024-07-28	"warble"	1	1	1
2024-07-29	"culi"	6	6	6
2024-07-29	"warble"	1	1	1
2024-07-30	"culi"	5	6	5.5
2024-07-30	"warble"	1	1	1
2024-07-31	"culi"	3	4	3.5
2024-07-31	"warble"	1	1	1
2024-08-01	"culi"	2	6	3.66666666666667
2024-08-01	"warble"	1	1	1
2024-08-02	"culi"	NA	NA	NA
2024-08-02	"warble"	1	1	1
2024-08-03	"culi"	NA	NA	NA
2024-08-03	"warble"	1	1	1
2024-08-04	"culi"	3	6	4.5
2024-08-04	"warble"	1	1	1
2024-08-05	"culi"	NA	NA	NA
2024-08-05	"warble"	1	1	1
2024-08-06	"culi"	3	4	3.5
2024-08-06	"warble"	1	1	1
2024-08-07	"culi"	3	4	3.5
2024-08-07	"warble"	1	1	1
2024-08-08	"culi"	3	6	4.5
2024-08-08	"warble"	1	1	1
2024-08-09	"culi"	6	6	6
2024-08-09	"warble"	1	1	1
2024-08-10	"culi"	3	4	3.5
2024-08-10	"warble"	1	1	1
2024-08-11	"culi"	4	4	4
2024-08-11	"warble"	1	1	1
2024-08-12	"culi"	5	6	5.5
2024-08-12	"warble"	1	1	1
2024-08-13	"culi"	5	6	5.5
2024-08-13	"warble"	1	1	1
2024-08-14	"culi"	3	4	3.5
2024-08-14	"warble"	1	1	1
2024-08-15	"culi"	3	6	4.5
2024-08-15	"warble"	1	1	1
2024-08-16	"culi"	4	5	4.5
2024-08-16	"warble"	1	1	1
2024-08-17	"culi"	3	4	3.5
2024-08-17	"warble"	1	1	1
2024-08-18	"culi"	2	6	4
2024-08-18	"warble"	1	1	1
2024-08-19	"culi"	1	5	3
2024-08-19	"warble"	1	1	1
2024-08-20	"culi"	6	6	6
2024-08-20	"warble"	1	1	1
2024-08-21	"culi"	NA	NA	NA
2024-08-21	"warble"	1	1	1
2024-08-22	"culi"	2	6	3.66666666666667
2024-08-22	"warble"	1	1	1
2024-08-23	"culi"	3	5	4
2024-08-23	"warble"	1	1	1
2024-08-24	"culi"	3	6	4.5
2024-08-24	"warble"	1	1	1
2024-08-25	"culi"	5	6	5.5
2024-08-25	"warble"	1	1	1
2024-08-26	"culi"	NA	NA	NA
2024-08-26	"warble"	1	1	1
2024-08-27	"culi"	4	4	4
2024-08-27	"warble"	1	1	1
2024-08-28	"culi"	3	5	4
2024-08-28	"warble"	1	1	1
2024-08-29	"culi"	4	5	4.5
2024-08-29	"warble"	1	1	1
2024-08-30	"culi"	3	5	4
2024-08-30	"warble"	1	1	1
