"subj_day"	"identifier"	"SampleID"	"ExtractID"	"SequenceID"
"culi_131"	"hdz-389-s266"	"hdz-389"	"hdz-389-e1"	"hdz-389-s266"
"culi_132"	"hdz-395-s272"	"hdz-395"	"hdz-395-e1"	"hdz-395-s272"
"culi_133"	"hdz-400-s331"	"hdz-400"	"hdz-400-e1"	"hdz-400-s331"
"warble_133"	"hdz-399-s330"	"hdz-399"	"hdz-399-e1"	"hdz-399-s330"
"culi_134"	"hdz-398-s329"	"hdz-398"	"hdz-398-e1"	"hdz-398-s329"
"unknown_NA"	"hdz-397-s274"	"hdz-397"	"hdz-397-e1"	"hdz-397-s274"
"culi_135"	"hdz-373-s219"	"hdz-373"	"hdz-373-e1"	"hdz-373-s219"
"culi_135"	"hdz-339-s252"	"hdz-339"	"hdz-339-e1"	"hdz-339-s252"
"warble_135"	"hdz-337-s160"	"hdz-337"	"hdz-337-e1"	"hdz-337-s160"
"culi_136"	"hdz-342-s171"	"hdz-342"	"hdz-342-e1"	"hdz-342-s171"
"culi_136"	"hdz-383-s260"	"hdz-383"	"hdz-383-e1"	"hdz-383-s260"
"warble_136"	"hdz-344-s316"	"hdz-344"	"hdz-344-e1"	"hdz-344-s316"
"warble_136"	"hdz-382-s328"	"hdz-382"	"hdz-382-e1"	"hdz-382-s328"
"culi_137"	"hdz-321-s132"	"hdz-321"	"hdz-321-e1"	"hdz-321-s132"
"warble_137"	"hdz-338-s161"	"hdz-338"	"hdz-338-e1"	"hdz-338-s161"
"culi_138"	"hdz-384-s261"	"hdz-384"	"hdz-384-e1"	"hdz-384-s261"
"culi_138"	"hdz-347-s318"	"hdz-347"	"hdz-347-e1"	"hdz-347-s318"
"warble_138"	"hdz-343-s172"	"hdz-343"	"hdz-343-e1"	"hdz-343-s172"
"culi_139"	"hdz-396-s273"	"hdz-396"	"hdz-396-e1"	"hdz-396-s273"
"warble_139"	"hdz-409-s339"	"hdz-409"	"hdz-409-e1"	"hdz-409-s339"
"culi_140"	"hdz-345-s258"	"hdz-345"	"hdz-345-e1"	"hdz-345-s258"
"warble_140"	"hdz-346-s317"	"hdz-346"	"hdz-346-e1"	"hdz-346-s317"
"culi_141"	"hdz-221-s90"	"hdz-221"	"hdz-221-e1"	"hdz-221-s90"
"warble_141"	"hdz-210-s105"	"hdz-210"	"hdz-210-e1"	"hdz-210-s105"
"warble_141"	"hdz-385-s262"	"hdz-385"	"hdz-385-e1"	"hdz-385-s262"
"culi_142"	"hdz-408-s338"	"hdz-408"	"hdz-408-e1"	"hdz-408-s338"
"warble_142"	"hdz-407-s337"	"hdz-407"	"hdz-407-e1"	"hdz-407-s337"
"culi_143"	"hdz-219-s81"	"hdz-219"	"hdz-219-e1"	"hdz-219-s81"
"culi_144"	"hdz-220-s85"	"hdz-220"	"hdz-220-e1"	"hdz-220-s85"
"warble_144"	"hdz-393-s270"	"hdz-393"	"hdz-393-e1"	"hdz-393-s270"
"culi_145"	"hdz-348-s259"	"hdz-348"	"hdz-348-e1"	"hdz-348-s259"
"warble_145"	"hdz-340-s326"	"hdz-340"	"hdz-340-e1"	"hdz-340-s326"
"culi_146"	"hdz-392-s269"	"hdz-392"	"hdz-392-e1"	"hdz-392-s269"
"culi_147"	"hdz-341-s170"	"hdz-341"	"hdz-341-e1"	"hdz-341-s170"
"warble_147"	"hdz-349-s173"	"hdz-349"	"hdz-349-e1"	"hdz-349-s173"
"culi_148"	"hdz-229-s130"	"hdz-229"	"hdz-229-e1"	"hdz-229-s130"
"warble_148"	"hdz-218-s204"	"hdz-218"	"hdz-218-e1"	"hdz-218-s204"
"culi_149"	"hdz-211-s106"	"hdz-211"	"hdz-211-e1"	"hdz-211-s106"
"warble_149"	"hdz-406-s336"	"hdz-406"	"hdz-406-e1"	"hdz-406-s336"
"culi_150"	"hdz-405-s335"	"hdz-405"	"hdz-405-e1"	"hdz-405-s335"
"warble_150"	"hdz-391-s268"	"hdz-391"	"hdz-391-e1"	"hdz-391-s268"
"culi_151"	"hdz-350-s174"	"hdz-350"	"hdz-350-e1"	"hdz-350-s174"
"warble_151"	"hdz-316-s256"	"hdz-316"	"hdz-316-e1"	"hdz-316-s256"
"culi_152"	"hdz-224-s123"	"hdz-224"	"hdz-224-e1"	"hdz-224-s123"
"warble_152"	"hdz-223-s122"	"hdz-223"	"hdz-223-e1"	"hdz-223-s122"
"culi_153"	"hdz-390-s267"	"hdz-390"	"hdz-390-e1"	"hdz-390-s267"
"warble_153"	"hdz-217-s89"	"hdz-217"	"hdz-217-e1"	"hdz-217-s89"
"culi_154"	"hdz-215-s108"	"hdz-215"	"hdz-215-e1"	"hdz-215-s108"
"warble_154"	"hdz-228-s129"	"hdz-228"	"hdz-228-e1"	"hdz-228-s129"
"warble_154"	"hdz-212-s250"	"hdz-212"	"hdz-212-e1"	"hdz-212-s250"
"warble_154"	"hdz-404"	"hdz-404"	NA	NA
"culi_156"	"hdz-227-s128"	"hdz-227"	"hdz-227-e1"	"hdz-227-s128"
"warble_156"	"hdz-216"	"hdz-216"	NA	NA
"culi_157"	"hdz-226-s124"	"hdz-226"	"hdz-226-e1"	"hdz-226-s124"
"warble_157"	"hdz-403-s334"	"hdz-403"	"hdz-403-e1"	"hdz-403-s334"
"unknown_NA"	"hdz-213-s107"	"hdz-213"	"hdz-213-e1"	"hdz-213-s107"
"warble_158"	"hdz-402-s333"	"hdz-402"	"hdz-402-e1"	"hdz-402-s333"
"culi_159"	"hdz-388-s265"	"hdz-388"	"hdz-388-e1"	"hdz-388-s265"
"warble_159"	"hdz-387-s264"	"hdz-387"	"hdz-387-e1"	"hdz-387-s264"
"culi_160"	"hdz-401-s332"	"hdz-401"	"hdz-401-e1"	"hdz-401-s332"
"culi_161"	"hdz-377-s287"	"hdz-377"	"hdz-377-e1"	"hdz-377-s287"
