"Taxa"	"iris16"	"iris17"	"iris22"	"iris36"	"iris44"	"iris46"	"iris59"	"iris60"
"Trimethylamine -- Production"	0.000772107854442628	0.00046093227269348	0.000245894081124556	0.000184098021969031	0.000802099208213496	0.000659587951526752	0.000190026332220322	0.00153868277250503
"Valerate (Pentanoic acid, Pentanoate) -- Production"	0.000772107854442628	0.00046093227269348	0.000245894081124556	0.000184098021969031	0.000802099208213496	0.000659587951526752	0.000190026332220322	0.00153868277250503
"XOS (Xylooligosaccharide) -- Consumption"	0.000772107854442628	0.00046093227269348	0.000245894081124556	0.000184098021969031	0.000802099208213496	0.000659587951526752	0.000190026332220322	0.00153868277250503
"Pyruvate -- Consumption"	0.000922518475437946	0.000312244442792357	0.000102455867135232	0.000286374700840714	0.00060730368621879	0.000685454145704272	0.000570078996660966	0.00094909404659189
"Fumarate -- Production"	0.000922518475437946	0.000312244442792357	0.000102455867135232	0.000286374700840714	0.000572928005866783	0.000685454145704272	0.000570078996660966	0.00090595340811044
"N-Acetyl-D-Glucosamine (N-Acetylglucosamine) -- Production"	0.000922518475437946	0.000312244442792357	0.000102455867135232	0.000286374700840714	0.000572928005866783	0.000685454145704272	0.000570078996660966	0.00090595340811044
"Niacin (Vitamin B3, Nicotinic acid, Nicotinate, Nicotinamide, Vitamin B3) -- Consumption"	0	1.48687829901123e-05	0	0.000347740708163725	0	0.0034790031168764	0	0
"Nitrite (NO2-) -- Consumption"	0.000270739117791571	4.46063489703368e-05	0.000348349948259787	0.000593204737455765	0.000687513607040139	0.000698387242793032	0.000190026332220322	0.000230083405234397
"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate) -- Consumption"	0.000160437995728338	0.000193294178871459	0.000307367601405695	2.04553357743367e-05	0.000378132483872077	0.000375059815574035	0.000705812091104053	0.000345125107851596
"Cellulose (Beta-D-glucan) -- Macromolecule"	0.000200547494660423	0.000193294178871459	6.14735202811389e-05	6.13660073230102e-05	0.000148961281525364	0.000245728844686437	0.000298612807774792	0.000186942766752948
"Acetate -- Consumption"	0.000130355871529275	8.92126979406736e-05	4.09823468540926e-05	8.18213430973469e-05	0.000160419841642699	0.000142264067976358	0.00010858647555447	0.000201322979580098
"Isobutyrate (2-Methylpropanoic acid) -- Consumption"	0.000130355871529275	8.92126979406736e-05	4.09823468540926e-05	8.18213430973469e-05	0.000160419841642699	0.000142264067976358	0.00010858647555447	0.000201322979580098
"Isovalerate (3-Methylbutanoic acid) -- Consumption"	0.000130355871529275	8.92126979406736e-05	4.09823468540926e-05	8.18213430973469e-05	0.000160419841642699	0.000142264067976358	0.00010858647555447	0.000201322979580098
"Propanoate (Propionate) -- Consumption"	0.000130355871529275	8.92126979406736e-05	4.09823468540926e-05	8.18213430973469e-05	0.000160419841642699	0.000142264067976358	0.00010858647555447	0.000201322979580098
"Valerate (Pentanoic acid, Pentanoate) -- Consumption"	0.000130355871529275	8.92126979406736e-05	4.09823468540926e-05	8.18213430973469e-05	0.000160419841642699	0.000142264067976358	0.00010858647555447	0.000201322979580098
