seqrun	barcode	reads_unclassified	flow_cell_id	protocol_group_id	seq_id	seq_date	seq_start
hdz5	barcode06	4189	AVI712	HDZ-PL-005	PL005	2024-07-17	2024-07-17 17:41:40.26544
hdz5	barcode07	7512	AVI712	HDZ-PL-005	PL005	2024-07-17	2024-07-17 17:41:40.26544
hdz5	barcode08	9863	AVI712	HDZ-PL-005	PL005	2024-07-17	2024-07-17 17:41:40.26544
hdz5	barcode09	11903	AVI712	HDZ-PL-005	PL005	2024-07-17	2024-07-17 17:41:40.26544
hdz5	barcode10	14103	AVI712	HDZ-PL-005	PL005	2024-07-17	2024-07-17 17:41:40.26544
hdz5	barcode11	11660	AVI712	HDZ-PL-005	PL005	2024-07-17	2024-07-17 17:41:40.26544
hdz5	barcode12	7976	AVI712	HDZ-PL-005	PL005	2024-07-17	2024-07-17 17:41:40.26544
hdz5	barcode13	7222	AVI712	HDZ-PL-005	PL005	2024-07-17	2024-07-17 17:41:40.26544
hdz5	barcode14	3664	AVI712	HDZ-PL-005	PL005	2024-07-17	2024-07-17 17:41:40.26544
hdz5	barcode15	5232	AVI712	HDZ-PL-005	PL005	2024-07-17	2024-07-17 17:41:40.26544
hdz5	barcode16	7106	AVI712	HDZ-PL-005	PL005	2024-07-17	2024-07-17 17:41:40.26544
hdz5	barcode17	9508	AVI712	HDZ-PL-005	PL005	2024-07-17	2024-07-17 17:41:40.26544
hdz5	barcode18	12629	AVI712	HDZ-PL-005	PL005	2024-07-17	2024-07-17 17:41:40.26544
hdz5	barcode19	7470	AVI712	HDZ-PL-005	PL005	2024-07-17	2024-07-17 17:41:40.26544
hdz5	barcode20	13979	AVI712	HDZ-PL-005	PL005	2024-07-17	2024-07-17 17:41:40.26544
hdz5	barcode21	1	AVI712	HDZ-PL-005	PL005	2024-07-17	2024-07-17 17:41:40.26544
hdz5	barcode22	7994	AVI712	HDZ-PL-005	PL005	2024-07-17	2024-07-17 17:41:40.26544
hdz5	barcode23	13238	AVI712	HDZ-PL-005	PL005	2024-07-17	2024-07-17 17:41:40.26544
hdz5	barcode24	15	AVI712	HDZ-PL-005	PL005	2024-07-17	2024-07-17 17:41:40.26544
hdz6	barcode01	15433	AVI490	HDZ-PL-006	PL006	2024-07-18	2024-07-18 20:35:26.690098
hdz6	barcode02	16538	AVI490	HDZ-PL-006	PL006	2024-07-18	2024-07-18 20:35:26.690098
hdz6	barcode03	15834	AVI490	HDZ-PL-006	PL006	2024-07-18	2024-07-18 20:35:26.690098
hdz6	barcode04	14512	AVI490	HDZ-PL-006	PL006	2024-07-18	2024-07-18 20:35:26.690098
hdz6	barcode05	9529	AVI490	HDZ-PL-006	PL006	2024-07-18	2024-07-18 20:35:26.690098
hdz6	barcode06	14379	AVI490	HDZ-PL-006	PL006	2024-07-18	2024-07-18 20:35:26.690098
hdz6	barcode07	7629	AVI490	HDZ-PL-006	PL006	2024-07-18	2024-07-18 20:35:26.690098
hdz6	barcode08	16298	AVI490	HDZ-PL-006	PL006	2024-07-18	2024-07-18 20:35:26.690098
hdz6	barcode09	18622	AVI490	HDZ-PL-006	PL006	2024-07-18	2024-07-18 20:35:26.690098
hdz6	barcode10	10182	AVI490	HDZ-PL-006	PL006	2024-07-18	2024-07-18 20:35:26.690098
hdz6	barcode11	16478	AVI490	HDZ-PL-006	PL006	2024-07-18	2024-07-18 20:35:26.690098
hdz6	barcode12	20912	AVI490	HDZ-PL-006	PL006	2024-07-18	2024-07-18 20:35:26.690098
hdz6	barcode13	8954	AVI490	HDZ-PL-006	PL006	2024-07-18	2024-07-18 20:35:26.690098
hdz6	barcode14	13340	AVI490	HDZ-PL-006	PL006	2024-07-18	2024-07-18 20:35:26.690098
hdz6	barcode15	6947	AVI490	HDZ-PL-006	PL006	2024-07-18	2024-07-18 20:35:26.690098
