"identifier"	"food"	"mg_fed"
"HDZ-156-S68"	"Invertebrates"	10000
"HDZ-156-S68"	"Protein Rotation"	2100
"HDZ-156-S68"	"Seasonal Veggie Rotation"	15000
"HDZ-155-S67"	"Biscuit"	13200
"HDZ-155-S67"	"Gum Arabic"	12000
"HDZ-155-S67"	"Invertebrates"	10000
"HDZ-155-S67"	"Protein Rotation"	2100
"HDZ-155-S67"	"Seasonal Veggie Rotation"	15000
"HDZ-174-S247"	"Biscuit"	13200
"HDZ-174-S247"	"Gum Arabic"	12000
"HDZ-174-S247"	"Invertebrates"	10000
"HDZ-174-S247"	"Protein Rotation"	2100
"HDZ-174-S247"	"Seasonal Veggie Rotation"	15000
"HDZ-161-S77"	"Biscuit"	13200
"HDZ-161-S77"	"Gum Arabic"	12000
"HDZ-161-S77"	"Invertebrates"	10000
"HDZ-161-S77"	"Protein Rotation"	2100
"HDZ-161-S77"	"Seasonal Veggie Rotation"	15000
"HDZ-168-S58"	"Biscuit"	13200
"HDZ-168-S58"	"Gum Arabic"	12000
"HDZ-168-S58"	"Invertebrates"	10000
"HDZ-168-S58"	"Protein Rotation"	2100
"HDZ-168-S58"	"Seasonal Veggie Rotation"	15000
"HDZ-162-S243"	"Biscuit"	13200
"HDZ-162-S243"	"Gum Arabic"	12000
"HDZ-162-S243"	"Invertebrates"	10000
"HDZ-162-S243"	"Protein Rotation"	2100
"HDZ-162-S243"	"Seasonal Veggie Rotation"	15000
"HDZ-169-S244"	"Biscuit"	13200
"HDZ-169-S244"	"Gum Arabic"	12000
"HDZ-169-S244"	"Invertebrates"	10000
"HDZ-169-S244"	"Protein Rotation"	2100
"HDZ-169-S244"	"Seasonal Veggie Rotation"	15000
"HDZ-170-S245"	"Biscuit"	13200
"HDZ-170-S245"	"Gum Arabic"	12000
"HDZ-170-S245"	"Invertebrates"	10000
"HDZ-170-S245"	"Protein Rotation"	2100
"HDZ-170-S245"	"Seasonal Veggie Rotation"	15000
"HDZ-163-S82"	"Biscuit"	13200
"HDZ-163-S82"	"Gum Arabic"	12000
"HDZ-163-S82"	"Invertebrates"	10000
"HDZ-163-S82"	"Protein Rotation"	2100
"HDZ-163-S82"	"Seasonal Veggie Rotation"	15000
"HDZ-084-S35"	"Biscuit"	13200
"HDZ-084-S35"	"Gum Arabic"	12000
"HDZ-084-S35"	"Invertebrates"	10000
"HDZ-084-S35"	"Protein Rotation"	2100
"HDZ-084-S35"	"Seasonal Veggie Rotation"	15000
"HDZ-099-S72"	"Biscuit"	13200
"HDZ-099-S72"	"Gum Arabic"	12000
"HDZ-099-S72"	"Invertebrates"	10000
"HDZ-099-S72"	"Protein Rotation"	2100
"HDZ-099-S72"	"Seasonal Veggie Rotation"	15000
"HDZ-098-S238"	"Biscuit"	13200
"HDZ-098-S238"	"Gum Arabic"	12000
"HDZ-098-S238"	"Invertebrates"	10000
"HDZ-098-S238"	"Protein Rotation"	2100
"HDZ-098-S238"	"Seasonal Veggie Rotation"	15000
"HDZ-103-S239"	"Biscuit"	13200
"HDZ-103-S239"	"Gum Arabic"	12000
"HDZ-103-S239"	"Invertebrates"	10000
"HDZ-103-S239"	"Protein Rotation"	2100
"HDZ-103-S239"	"Seasonal Veggie Rotation"	15000
