alias	seqrun	collection	sampleID	subject	barcode	kit	reads_unclassified	flow_cell_id	protocol_group_id	seq_id	seq_date	seq_start	tech_replicates	ster_mgpml	ster_dose_ml	ster_npday	ster_mgpday	diet_trial	location	med_type	med_name	mgpml	dose_ml	dose_npday	mg_p_day	warble_cycle	access	culi_trial	bristol_min	bristol_max	bristol_mean	note_type	note_detail
hdz-184-s248	hdz11	2023-12-07	hdz-184	culi	barcode18	SQK-16S114-24	19730	AVN953	HDZ-PL011	PL011	2024-08-21	2024-08-21 21:19:53.872014	1	0	0	0	0	probiotic_oat	old_enclosure	none	none	0	0	0	0	not_pregnant	separated	probiotic_oat	3	3	3	none	none
hdz-183-s84	hdz4	2023-12-07	hdz-183	warble	barcode15	SQK-16S114-24	10808	AUD364	HDZ-PL-004	PL004	2024-06-13	2024-06-13 21:37:11.220383	1	0	0	0	0	baseline	old_enclosure	none	none	0	0	0	0	not_pregnant	separated	probiotic_oat	NA	NA	NA	none	none
hdz-182-s52	hdz3	2023-12-08	hdz-182	culi	barcode06	SQK-16S114-24	3451	AUA949	HDZ-PL-003	PL003	2024-06-12	2024-06-12 20:06:58.563653	1	0	0	0	0	probiotic_oat	old_enclosure	none	none	0	0	0	0	not_pregnant	separated	probiotic_oat	NA	NA	NA	none	none
hdz-176-s51	hdz3	2023-12-09	hdz-176	culi	barcode05	SQK-16S114-24	2017	AUA949	HDZ-PL-003	PL003	2024-06-12	2024-06-12 20:06:58.563653	1	0	0	0	0	probiotic_oat	old_enclosure	none	none	0	0	0	0	not_pregnant	separated	probiotic_oat	3	3	3	none	none
hdz-195-s201	hdz9	2023-12-09	hdz-195	warble	barcode17	SQK-16S114-24	10248	AWN500	PL8-9	PL009	2024-08-16	2024-08-16 18:56:41.056086	1	0	0	0	0	baseline	old_enclosure	none	none	0	0	0	0	not_pregnant	separated	probiotic_oat	NA	NA	NA	none	none
hdz-181-s74	hdz4	2023-12-10	hdz-181	culi	barcode05	SQK-16S114-24	8877	AUD364	HDZ-PL-004	PL004	2024-06-13	2024-06-13 21:37:11.220383	1	0	0	0	0	probiotic_oat	old_enclosure	none	none	0	0	0	0	not_pregnant	separated	probiotic_oat	3	3	3	none	none
hdz-179-s98	hdz5	2023-12-11	hdz-179	culi	barcode06	SQK-16S114-24	4189	AVI712	HDZ-PL-005	PL005	2024-07-17	2024-07-17 17:41:40.26544	1	0	0	0	0	probiotic_oat	old_enclosure	none	none	0	0	0	0	not_pregnant	separated	probiotic_oat	3	3	3	none	none
hdz-180-s99	hdz5	2023-12-12	hdz-180	culi	barcode07	SQK-16S114-24	7512	AVI712	HDZ-PL-005	PL005	2024-07-17	2024-07-17 17:41:40.26544	1	0	0	0	0	probiotic_oat	old_enclosure	none	none	0	0	0	0	not_pregnant	separated	probiotic_oat	3	3	3	none	none
hdz-175-s61	hdz3	2023-12-13	hdz-175	culi	barcode15	SQK-16S114-24	2709	AUA949	HDZ-PL-003	PL003	2024-06-12	2024-06-12 20:06:58.563653	1	0	0	0	0	probiotic_oat	old_enclosure	none	none	0	0	0	0	not_pregnant	separated	probiotic_oat	3	3	3	none	none
hdz-177-s47	hdz3	2023-12-13	hdz-177	warble	barcode01	SQK-16S114-24	4141	AUA949	HDZ-PL-003	PL003	2024-06-12	2024-06-12 20:06:58.563653	1	0	0	0	0	baseline	old_enclosure	none	none	0	0	0	0	not_pregnant	separated	probiotic_oat	NA	NA	NA	none	none
