task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
67	e2/b342a2	4101787	minimap_pipeline:getAlignmentStats (hdz-329-s315)	COMPLETED	0	2024-10-12 16:41:18.157	2.6s	2.2s	193.3%	383.8 MB	1.5 GB	394.1 MB	4.6 MB
71	98/f53306	4102205	minimap_pipeline:getAlignmentStats (hdz-272-s312)	COMPLETED	0	2024-10-12 16:41:20.853	3.5s	3s	176.1%	688.2 MB	1.9 GB	410.3 MB	7.6 MB
75	4b/06f622	4102698	minimap_pipeline:getAlignmentStats (hdz-271-s311)	COMPLETED	0	2024-10-12 16:41:24.323	3s	2.7s	188.8%	686.7 MB	1.8 GB	411.2 MB	7.2 MB
79	e4/9b91ce	4103191	minimap_pipeline:getAlignmentStats (hdz-239-s307)	COMPLETED	0	2024-10-12 16:41:27.355	2.8s	2.5s	181.1%	739 MB	1.9 GB	405.9 MB	5.9 MB
83	d7/766cd4	4103685	minimap_pipeline:getAlignmentStats (hdz-095-s300)	COMPLETED	0	2024-10-12 16:41:30.241	3.1s	2.7s	187.0%	688.2 MB	1.9 GB	414.5 MB	7.6 MB
87	a2/495ca2	4104178	minimap_pipeline:getAlignmentStats (pl-ntc-014-ctrl)	COMPLETED	0	2024-10-12 16:41:33.389	2.8s	2.5s	219.8%	730.4 MB	1.8 GB	387.3 MB	1.6 MB
92	f1/93d05a	4104668	minimap_pipeline:getAlignmentStats (hdz-413-s320)	COMPLETED	0	2024-10-12 16:41:36.182	2.4s	2.1s	196.3%	482.9 MB	1.7 GB	386.7 MB	1.2 MB
95	07/c5c9bf	4105029	minimap_pipeline:getAlignmentStats (hdz-158-s301)	COMPLETED	0	2024-10-12 16:41:38.663	3.3s	2.8s	180.6%	691.3 MB	1.9 GB	409.5 MB	8.1 MB
99	3d/16edc6	4105518	minimap_pipeline:getAlignmentStats (hdz-274-s314)	COMPLETED	0	2024-10-12 16:41:41.967	2.9s	2.5s	180.7%	705.4 MB	1.9 GB	411.9 MB	6.1 MB
104	ca/1c1f2f	4106008	minimap_pipeline:getAlignmentStats (hdz-346-s317)	COMPLETED	0	2024-10-12 16:41:44.861	3.5s	3.1s	191.3%	688.5 MB	1.9 GB	408.3 MB	7.6 MB
107	7a/44d6df	4106501	minimap_pipeline:getAlignmentStats (hdz-171-s303)	COMPLETED	0	2024-10-12 16:41:48.435	3.6s	3s	179.9%	536.3 MB	1.8 GB	411.5 MB	7.4 MB
111	16/e1ec0e	4106994	minimap_pipeline:getAlignmentStats (hdz-270-s310)	COMPLETED	0	2024-10-12 16:41:52.026	3s	2.7s	181.2%	680.2 MB	1.8 GB	407.5 MB	6.6 MB
115	58/9ff08f	4107483	minimap_pipeline:getAlignmentStats (hdz-273-s313)	COMPLETED	0	2024-10-12 16:41:55.081	3.2s	2.8s	192.0%	690.1 MB	1.9 GB	407.7 MB	6.9 MB
119	9a/bee6dc	4107971	minimap_pipeline:getAlignmentStats (hdz-412-s319)	COMPLETED	0	2024-10-12 16:41:58.295	3.3s	2.8s	185.3%	689.8 MB	1.9 GB	403.5 MB	5.9 MB
124	4a/b6f856	4108465	minimap_pipeline:getAlignmentStats (hdz-159-s302)	COMPLETED	0	2024-10-12 16:42:01.569	3.1s	2.7s	195.5%	636.9 MB	1.8 GB	412.8 MB	8.7 MB
129	cf/af645b	4108954	minimap_pipeline:getAlignmentStats (hdz-268-s308)	COMPLETED	0	2024-10-12 16:42:04.645	3s	2.5s	194.6%	728 MB	1.8 GB	400.4 MB	6.4 MB
132	38/02fa15	4109447	minimap_pipeline:getAlignmentStats (hdz-414-s321)	COMPLETED	0	2024-10-12 16:42:07.649	3.5s	3s	189.3%	660.9 MB	1.8 GB	402.9 MB	6.6 MB
136	18/2bb1ca	4109940	minimap_pipeline:getAlignmentStats (hdz-450-s322)	COMPLETED	0	2024-10-12 16:42:11.121	3s	2.7s	202.5%	686.2 MB	1.8 GB	400.5 MB	6.6 MB
139	72/3791c4	4110436	minimap_pipeline:getAlignmentStats (hdz-237-s305)	COMPLETED	0	2024-10-12 16:42:14.161	2.9s	2.5s	189.9%	720.2 MB	1.8 GB	403.7 MB	5.6 MB
144	21/eee8a8	4110932	minimap_pipeline:getAlignmentStats (hdz-238-s306)	COMPLETED	0	2024-10-12 16:42:17.141	2.9s	2.4s	195.3%	738.8 MB	1.9 GB	395.7 MB	3.9 MB
